Benchmark,dotnetcore_nollvm,mono-mono-981da38038775e963db88c40c525aaafb277ff40_nollvm,mono-mono-981da38038775e963db88c40c525aaafb277ff40_nollvm-interpreter
System.Globalization.Tests.StringSearch.IsPrefix_DifferentFirstChar(Options: (en-US; IgnoreCase; Tru...,1.00,1.00,0.96,
System.Globalization.Tests.StringSearch.IsSuffix_SecondHalf(Options: (en-US; IgnoreCase; True)),1.00,1.00,1.02,
System.Globalization.Tests.StringSearch.IsSuffix_DifferentLastChar(Options: (en-US; IgnoreCase; True...,1.00,1.00,1.01,
System.Globalization.Tests.StringSearch.IndexOf_Word_NotFound(Options: (en-US; IgnoreCase; True)),1.00,1.00,1.00,
System.Globalization.Tests.StringSearch.LastIndexOf_Word_NotFound(Options: (en-US; IgnoreCase; True)...,1.00,1.00,0.98,
System.Globalization.Tests.StringSearch.IsPrefix_FirstHalf(Options: (en-US; IgnoreNonSpace; False)),1.00,1.00,0.98,
System.Globalization.Tests.StringSearch.IsPrefix_DifferentFirstChar(Options: (en-US; IgnoreNonSpace;...,1.00,1.00,1.04,
System.Globalization.Tests.StringSearch.IsSuffix_SecondHalf(Options: (en-US; IgnoreNonSpace; False)),1.00,1.00,0.99,
System.Globalization.Tests.StringSearch.IsSuffix_DifferentLastChar(Options: (en-US; IgnoreNonSpace; ...,1.00,1.00,0.99,
System.Globalization.Tests.StringSearch.IndexOf_Word_NotFound(Options: (en-US; IgnoreNonSpace; False...,1.00,1.00,0.94,
System.Globalization.Tests.StringSearch.LastIndexOf_Word_NotFound(Options: (en-US; IgnoreNonSpace; F...,1.00,1.00,1.13,
System.Globalization.Tests.StringSearch.IsPrefix_FirstHalf(Options: (en-US; IgnoreSymbols; False)),1.00,1.00,1.01,
System.Globalization.Tests.StringSearch.IsPrefix_DifferentFirstChar(Options: (en-US; IgnoreSymbols; ...,1.00,1.00,0.98,
System.Globalization.Tests.StringSearch.IsSuffix_SecondHalf(Options: (en-US; IgnoreSymbols; False)),1.00,1.00,1.00,
System.Globalization.Tests.StringSearch.IsSuffix_DifferentLastChar(Options: (en-US; IgnoreSymbols; F...,1.00,1.00,1.01,
System.Globalization.Tests.StringSearch.IndexOf_Word_NotFound(Options: (en-US; IgnoreSymbols; False)...,1.00,1.00,0.98,
System.Globalization.Tests.StringSearch.LastIndexOf_Word_NotFound(Options: (en-US; IgnoreSymbols; Fa...,1.00,1.00,0.99,
System.Globalization.Tests.StringSearch.IsPrefix_FirstHalf(Options: (en-US; None; False)),1.00,1.00,1.03,
System.Globalization.Tests.StringSearch.IsPrefix_DifferentFirstChar(Options: (en-US; None; False)),1.00,1.00,0.98,
System.Globalization.Tests.StringSearch.IsSuffix_SecondHalf(Options: (en-US; None; False)),1.00,1.00,1.00,
System.Globalization.Tests.StringSearch.IsSuffix_DifferentLastChar(Options: (en-US; None; False)),1.00,1.00,1.10,
System.Globalization.Tests.StringSearch.IndexOf_Word_NotFound(Options: (en-US; None; False)),1.00,1.00,1.01,
System.Globalization.Tests.StringSearch.LastIndexOf_Word_NotFound(Options: (en-US; None; False)),1.00,1.00,1.01,
System.Globalization.Tests.StringSearch.IsPrefix_FirstHalf(Options: (en-US; None; True)),1.00,1.00,1.03,
System.Globalization.Tests.StringSearch.IsPrefix_DifferentFirstChar(Options: (en-US; None; True)),1.00,1.00,1.03,
System.Globalization.Tests.StringSearch.IsSuffix_SecondHalf(Options: (en-US; None; True)),1.00,1.00,1.01,
System.Globalization.Tests.StringSearch.IsSuffix_DifferentLastChar(Options: (en-US; None; True)),1.00,1.00,1.02,
System.Globalization.Tests.StringSearch.IndexOf_Word_NotFound(Options: (en-US; None; True)),1.00,1.00,1.00,
System.Globalization.Tests.StringSearch.LastIndexOf_Word_NotFound(Options: (en-US; None; True)),1.00,1.00,1.01,
System.Globalization.Tests.StringSearch.IsPrefix_FirstHalf(Options: (en-US; Ordinal; False)),1.00,1.00,0.96,
System.Globalization.Tests.StringSearch.IsPrefix_DifferentFirstChar(Options: (en-US; Ordinal; False)...,1.00,1.00,1.03,
System.Globalization.Tests.StringSearch.IsSuffix_SecondHalf(Options: (en-US; Ordinal; False)),1.00,1.00,1.03,
System.Globalization.Tests.StringSearch.IsSuffix_DifferentLastChar(Options: (en-US; Ordinal; False)),1.00,1.00,1.01,
System.Globalization.Tests.StringSearch.IndexOf_Word_NotFound(Options: (en-US; Ordinal; False)),1.00,1.00,0.98,
System.Globalization.Tests.StringSearch.LastIndexOf_Word_NotFound(Options: (en-US; Ordinal; False)),1.00,1.00,1.00,
System.Globalization.Tests.StringSearch.IsPrefix_FirstHalf(Options: (en-US; OrdinalIgnoreCase; False...,1.00,1.00,1.00,
System.Globalization.Tests.StringSearch.IsPrefix_DifferentFirstChar(Options: (en-US; OrdinalIgnoreCa...,1.00,1.00,1.01,
System.Globalization.Tests.StringSearch.IsSuffix_SecondHalf(Options: (en-US; OrdinalIgnoreCase; Fals...,1.00,1.00,1.01,
System.Globalization.Tests.StringSearch.IsSuffix_DifferentLastChar(Options: (en-US; OrdinalIgnoreCas...,1.00,1.00,1.00,
System.Globalization.Tests.StringSearch.IndexOf_Word_NotFound(Options: (en-US; OrdinalIgnoreCase; Fa...,1.00,1.00,1.00,
System.Globalization.Tests.StringSearch.LastIndexOf_Word_NotFound(Options: (en-US; OrdinalIgnoreCase...,1.00,1.00,1.00,
System.Globalization.Tests.StringSearch.IsPrefix_FirstHalf(Options: (pl-PL; None; False)),1.00,1.00,1.02,
System.Globalization.Tests.StringSearch.IsPrefix_DifferentFirstChar(Options: (pl-PL; None; False)),1.00,1.00,0.98,
System.Globalization.Tests.StringSearch.IsSuffix_SecondHalf(Options: (pl-PL; None; False)),1.00,1.00,1.00,
System.Globalization.Tests.StringSearch.IsSuffix_DifferentLastChar(Options: (pl-PL; None; False)),1.00,1.00,1.01,
System.Globalization.Tests.StringSearch.IndexOf_Word_NotFound(Options: (pl-PL; None; False)),1.00,1.00,1.01,
System.Globalization.Tests.StringSearch.LastIndexOf_Word_NotFound(Options: (pl-PL; None; False)),1.00,1.00,1.01,
System.Collections.IterateForEachNonGeneric<String>.ArrayList(Size: 512),1.00,1.00,1.15,
System.Collections.IterateForEachNonGeneric<String>.Hashtable(Size: 512),1.00,1.00,1.03,
System.Collections.IterateForEachNonGeneric<String>.Queue(Size: 512),1.00,1.00,1.02,
System.Collections.IterateForEachNonGeneric<String>.Stack(Size: 512),1.00,1.00,1.02,
System.Collections.IterateForEachNonGeneric<String>.SortedList(Size: 512),1.00,1.00,1.01,
SeekUnroll.Test(boxedIndex: 1),1.00,1.00,1.00,
SeekUnroll.Test(boxedIndex: 3),1.00,1.00,1.04,
SeekUnroll.Test(boxedIndex: 11),1.00,1.00,1.01,
SeekUnroll.Test(boxedIndex: 19),1.00,1.00,1.05,
SeekUnroll.Test(boxedIndex: 27),1.00,1.00,0.99,
System.Net.Primitives.Tests.CredentialCacheTests.ForEach(uriCount: 0; hostPortCount: 0),1.00,1.00,1.00,
System.Net.Primitives.Tests.CredentialCacheTests.ForEach(uriCount: 0; hostPortCount: 10),1.00,1.00,1.03,
System.Net.Primitives.Tests.CredentialCacheTests.ForEach(uriCount: 10; hostPortCount: 0),1.00,1.00,1.00,
System.Net.Primitives.Tests.CredentialCacheTests.ForEach(uriCount: 10; hostPortCount: 10),1.00,1.00,0.98,
System.Net.Primitives.Tests.CredentialCacheTests.GetCredential_Uri(uriString: "http://name5"; uriCou...,1.00,1.00,1.01,
System.Net.Primitives.Tests.CredentialCacheTests.GetCredential_Uri(uriString: "http://notfound"; uri...,1.00,1.00,1.00,
System.Net.Primitives.Tests.CredentialCacheTests.GetCredential_Uri(uriString: "http://notfound"; uri...,1.00,1.00,1.05,
System.Net.Primitives.Tests.CredentialCacheTests.GetCredential_HostPort(host: "name5"; hostPortCount...,1.00,1.00,0.99,
System.Net.Primitives.Tests.CredentialCacheTests.GetCredential_HostPort(host: "notfound"; hostPortCo...,1.00,1.00,0.96,
System.Net.Primitives.Tests.CredentialCacheTests.GetCredential_HostPort(host: "notfound"; hostPortCo...,1.00,1.00,1.02,
Benchstone.BenchI.QuickSort.Test,1.00,1.00,1.03,
MicroBenchmarks.Serializers.Xml_FromStream<SimpleStructWithProperties>.XmlSerializer_,1.00,1.00,0.96,
MicroBenchmarks.Serializers.Xml_FromStream<SimpleStructWithProperties>.DataContractSerializer_,1.00,1.00,0.97,
Burgers.Test0,1.00,1.00,0.95,
Burgers.Test1,1.00,1.00,0.99,
Burgers.Test2,1.00,1.00,0.98,
Burgers.Test3,1.00,1.00,0.99,
System.Collections.CtorFromCollectionNonGeneric<String>.ArrayList(Size: 512),1.00,1.00,1.05,
System.Collections.CtorFromCollectionNonGeneric<String>.Hashtable(Size: 512),1.00,1.00,1.05,
System.Collections.CtorFromCollectionNonGeneric<String>.Queue(Size: 512),1.00,1.00,1.01,
System.Collections.CtorFromCollectionNonGeneric<String>.Stack(Size: 512),1.00,1.00,1.01,
System.Collections.CtorFromCollectionNonGeneric<String>.SortedList(Size: 512),1.00,1.00,0.99,
System.Text.Json.Tests.Perf_Base64.WriteByteArrayAsBase64_NoEscaping(NumberOfBytes: 100),1.00,1.00,1.02,
System.Text.Json.Tests.Perf_Base64.WriteByteArrayAsBase64_HeavyEscaping(NumberOfBytes: 100),1.00,1.00,1.01,
System.Text.Json.Tests.Perf_Base64.WriteByteArrayAsBase64_NoEscaping(NumberOfBytes: 1000),1.00,1.00,1.05,
System.Text.Json.Tests.Perf_Base64.WriteByteArrayAsBase64_HeavyEscaping(NumberOfBytes: 1000),1.00,1.00,1.02,
MicroBenchmarks.Serializers.Xml_ToStream<CollectionsOfPrimitives>.XmlSerializer_,1.00,1.00,1.03,
MicroBenchmarks.Serializers.Xml_ToStream<CollectionsOfPrimitives>.DataContractSerializer_,1.00,1.00,0.97,
System.Collections.ContainsFalse<String>.Array(Size: 512),1.00,1.00,0.97,
System.Collections.ContainsFalse<String>.Span(Size: 512),1.00,1.00,1.01,
System.Collections.ContainsFalse<String>.List(Size: 512),1.00,1.00,1.00,
System.Collections.ContainsFalse<String>.ICollection(Size: 512),1.00,1.00,1.01,
System.Collections.ContainsFalse<String>.LinkedList(Size: 512),1.00,1.00,1.01,
System.Collections.ContainsFalse<String>.HashSet(Size: 512),1.00,1.00,1.00,
System.Collections.ContainsFalse<String>.Queue(Size: 512),1.00,1.00,0.97,
System.Collections.ContainsFalse<String>.Stack(Size: 512),1.00,1.00,1.02,
System.Collections.ContainsFalse<String>.SortedSet(Size: 512),1.00,1.00,0.99,
System.Collections.ContainsFalse<String>.ImmutableArray(Size: 512),1.00,1.00,1.02,
System.Collections.ContainsFalse<String>.ImmutableHashSet(Size: 512),1.00,1.00,1.01,
System.Collections.ContainsFalse<String>.ImmutableList(Size: 512),1.00,1.00,1.00,
System.Collections.ContainsFalse<String>.ImmutableSortedSet(Size: 512),1.00,1.00,0.97,
BenchmarksGame.BinaryTrees_5.RunBench,1.00,1.00,1.04,
SIMD.RayTracerBench.Bench,1.00,1.00,1.04,
System.Text.Json.Serialization.Tests.ReadJson<Hashtable>.DeserializeFromString,1.00,1.00,1.05,
System.Text.Json.Serialization.Tests.ReadJson<Hashtable>.DeserializeFromUtf8Bytes,1.00,1.00,0.94,
System.Text.Json.Serialization.Tests.ReadJson<Hashtable>.DeserializeFromStream,1.00,1.00,0.99,
System.Collections.Concurrent.AddRemoveFromDifferentThreads<Int32>.ConcurrentBag(Size: 2000000),1.00,1.00,0.98,
System.Collections.Concurrent.AddRemoveFromDifferentThreads<Int32>.ConcurrentStack(Size: 2000000),1.00,1.00,1.05,
System.Collections.Concurrent.AddRemoveFromDifferentThreads<Int32>.ConcurrentQueue(Size: 2000000),1.00,1.00,1.05,
System.IO.Compression.Brotli.Compress_WithState(level: Optimal; file: "TestDocument.pdf"),1.00,1.00,1.01,
System.IO.Compression.Brotli.Decompress_WithState(level: Optimal; file: "TestDocument.pdf"),1.00,1.00,0.99,
System.IO.Compression.Brotli.Compress_WithoutState(level: Optimal; file: "TestDocument.pdf"),1.00,1.00,1.00,
System.IO.Compression.Brotli.Decompress_WithoutState(level: Optimal; file: "TestDocument.pdf"),1.00,1.00,1.02,
System.IO.Compression.Brotli.Compress(level: Optimal; file: "TestDocument.pdf"),1.00,1.00,1.07,
System.IO.Compression.Brotli.Decompress(level: Optimal; file: "TestDocument.pdf"),1.00,1.00,1.03,
System.IO.Compression.Brotli.Compress_WithState(level: Optimal; file: "alice29.txt"),1.00,1.00,1.01,
System.IO.Compression.Brotli.Decompress_WithState(level: Optimal; file: "alice29.txt"),1.00,1.00,0.96,
System.IO.Compression.Brotli.Compress_WithoutState(level: Optimal; file: "alice29.txt"),1.00,1.00,1.01,
System.IO.Compression.Brotli.Decompress_WithoutState(level: Optimal; file: "alice29.txt"),1.00,1.00,1.01,
System.IO.Compression.Brotli.Compress(level: Optimal; file: "alice29.txt"),1.00,1.00,0.95,
System.IO.Compression.Brotli.Decompress(level: Optimal; file: "alice29.txt"),1.00,1.00,1.02,
System.IO.Compression.Brotli.Compress_WithState(level: Optimal; file: "sum"),1.00,1.00,1.00,
System.IO.Compression.Brotli.Decompress_WithState(level: Optimal; file: "sum"),1.00,1.00,1.00,
System.IO.Compression.Brotli.Compress_WithoutState(level: Optimal; file: "sum"),1.00,1.00,0.96,
System.IO.Compression.Brotli.Decompress_WithoutState(level: Optimal; file: "sum"),1.00,1.00,0.97,
System.IO.Compression.Brotli.Compress(level: Optimal; file: "sum"),1.00,1.00,0.83,
System.IO.Compression.Brotli.Decompress(level: Optimal; file: "sum"),1.00,1.00,0.96,
System.IO.Compression.Brotli.Compress_WithState(level: Fastest; file: "TestDocument.pdf"),1.00,1.00,0.98,
System.IO.Compression.Brotli.Decompress_WithState(level: Fastest; file: "TestDocument.pdf"),1.00,1.00,1.02,
System.IO.Compression.Brotli.Compress_WithoutState(level: Fastest; file: "TestDocument.pdf"),1.00,1.00,1.02,
System.IO.Compression.Brotli.Decompress_WithoutState(level: Fastest; file: "TestDocument.pdf"),1.00,1.00,1.00,
System.IO.Compression.Brotli.Compress(level: Fastest; file: "TestDocument.pdf"),1.00,1.00,0.99,
System.IO.Compression.Brotli.Decompress(level: Fastest; file: "TestDocument.pdf"),1.00,1.00,0.95,
System.IO.Compression.Brotli.Compress_WithState(level: Fastest; file: "alice29.txt"),1.00,1.00,0.99,
System.IO.Compression.Brotli.Decompress_WithState(level: Fastest; file: "alice29.txt"),1.00,1.00,1.00,
System.IO.Compression.Brotli.Compress_WithoutState(level: Fastest; file: "alice29.txt"),1.00,1.00,0.99,
System.IO.Compression.Brotli.Decompress_WithoutState(level: Fastest; file: "alice29.txt"),1.00,1.00,1.02,
System.IO.Compression.Brotli.Compress(level: Fastest; file: "alice29.txt"),1.00,1.00,0.88,
System.IO.Compression.Brotli.Decompress(level: Fastest; file: "alice29.txt"),1.00,1.00,1.01,
System.IO.Compression.Brotli.Compress_WithState(level: Fastest; file: "sum"),1.00,1.00,1.00,
System.IO.Compression.Brotli.Decompress_WithState(level: Fastest; file: "sum"),1.00,1.00,1.00,
System.IO.Compression.Brotli.Compress_WithoutState(level: Fastest; file: "sum"),1.00,1.00,0.99,
System.IO.Compression.Brotli.Decompress_WithoutState(level: Fastest; file: "sum"),1.00,1.00,1.00,
System.IO.Compression.Brotli.Compress(level: Fastest; file: "sum"),1.00,1.00,1.00,
System.IO.Compression.Brotli.Decompress(level: Fastest; file: "sum"),1.00,1.00,0.98,
MicroBenchmarks.Serializers.Json_FromString<IndexViewModel>.Jil_,1.00,1.00,1.06,
MicroBenchmarks.Serializers.Json_FromString<IndexViewModel>.JsonNet_,1.00,1.00,1.04,
MicroBenchmarks.Serializers.Json_FromString<IndexViewModel>.Utf8Json_,1.00,1.00,1.03,
System.Tests.Perf_DateTimeOffset.GetNow,1.00,1.00,0.98,
System.Tests.Perf_DateTimeOffset.GetUtcNow,1.00,1.00,1.02,
System.Tests.Perf_DateTimeOffset.op_Subtraction,1.00,1.00,1.00,
System.Tests.Perf_DateTimeOffset.ToString(format: null),1.00,1.00,1.00,
System.Tests.Perf_DateTimeOffset.ToString(value: 12/30/2017 3:45:22 AM -08:00),1.00,1.00,1.03,
System.Tests.Perf_DateTimeOffset.Parse(value: "12/30/2017 3:45:22 AM -08:00"),1.00,1.00,1.05,
System.Tests.Perf_DateTimeOffset.TryParse(value: "12/30/2017 3:45:22 AM -08:00"),1.00,1.00,0.99,
System.Tests.Perf_DateTimeOffset.ToString(format: "G"),1.00,1.00,1.02,
System.Tests.Perf_DateTimeOffset.ToString(format: "o"),1.00,1.00,1.02,
System.Tests.Perf_DateTimeOffset.ToString(format: "r"),1.00,1.00,1.00,
System.Tests.Perf_DateTimeOffset.ToString(format: "s"),1.00,1.00,0.98,
System.Collections.Concurrent.Count<String>.Dictionary(Size: 512),1.00,1.00,1.98,
System.Collections.Concurrent.Count<String>.Queue(Size: 512),1.00,1.00,1.02,
System.Collections.Concurrent.Count<String>.Queue_EnqueueCountDequeue(Size: 512),1.00,1.00,1.04,
System.Collections.Concurrent.Count<String>.Stack(Size: 512),1.00,1.00,1.02,
System.Collections.Concurrent.Count<String>.Bag(Size: 512),1.00,1.00,1.11,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.00),SMALL,SMALL,SMALL,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.10),SMALL,SMALL,SMALL,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.20),1.00,1.00,0.98,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.30),1.00,1.00,0.94,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.40),1.00,1.00,0.97,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.50),1.00,1.00,0.99,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.60),1.00,1.00,0.99,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.70),1.00,1.00,1.02,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.80),1.00,1.00,1.03,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 0.90),SMALL,SMALL,SMALL,
GuardedDevirtualization.TwoClassInterface.Call(testInput: pB = 1.00),SMALL,SMALL,SMALL,
Benchstone.BenchF.Bisect.Test,1.00,1.00,0.96,
System.Threading.Tests.Perf_Timer.ShortScheduleAndDispose,1.00,1.00,0.99,
System.Threading.Tests.Perf_Timer.LongScheduleAndDispose,1.00,1.00,0.98,
System.Threading.Tests.Perf_Timer.ScheduleManyThenDisposeMany,1.00,1.00,0.99,
System.Threading.Tests.Perf_Timer.SynchronousContention,1.00,1.00,1.01,
System.Threading.Tests.Perf_Timer.AsynchronousContention,1.00,1.00,0.98,
System.Threading.Tests.Perf_Timer.ShortScheduleAndDisposeWithFiringTimers,1.00,1.00,0.97,
PerfLabTests.StackWalk.Walk,1.00,1.00,1.01,
System.Tests.Perf_Boolean.Parse(value: "False"),1.00,1.00,0.98,
System.Tests.Perf_Boolean.TryParse(value: "False"),1.00,1.00,1.02,
System.Tests.Perf_Boolean.ToString(value: False),SMALL,SMALL,SMALL,
System.Tests.Perf_Boolean.Parse(value: "True"),1.00,1.00,1.04,
System.Tests.Perf_Boolean.TryParse(value: "True"),1.00,1.00,0.98,
System.Tests.Perf_Boolean.ToString(value: True),SMALL,SMALL,SMALL,
System.Net.Tests.Perf_WebUtility.Decode_DecodingRequired,1.00,1.00,0.99,
