Benchmark,dotnet_core,mono_interpreter,mono_jit
System.Memory.ReadOnlySpan.IndexOfString(input: "Hello Worldbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbareally...,1.00,1018.38,3.12,
System.Memory.ReadOnlySpan.IndexOfString(input: "Hello Worldbbbbbbbbbbbbbbcbbbbbbbbbbbbbbbbbbba!"; v...,1.00,325.90,1.86,
System.Memory.ReadOnlySpan.IndexOfString(input: "More Test's"; value: "Tests"; comparisonType: Ordin...,1.00,5.60,2.32,
System.Memory.ReadOnlySpan.IndexOfString(input: "StrIng"; value: "string"; comparisonType: OrdinalIg...,1.00,9.91,3.48,
System.Memory.ReadOnlySpan.Trim(input: "abcdefg"),1.00,29.05,2.63,
System.Memory.ReadOnlySpan.IndexOfString(input: "foobardzsdzs"; value: "rddzs"; comparisonType: Inva...,1.00,39.61,3.85,
System.Memory.ReadOnlySpan.IndexOfString(input: "string1"; value: "string2"; comparisonType: Invaria...,1.00,39.11,4.06,
System.Memory.ReadOnlySpan.IndexOfString(input: "だ"; value: "た"; comparisonType: InvariantCulture),1.00,1.48,1.05,
System.Memory.ReadOnlySpan.IndexOfString(input: "だだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだす...,1.00,319.62,2.09,
System.Memory.ReadOnlySpan.IndexOfString(input: "だだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだだ...,1.00,1669.54,4.34,
System.Text.Json.Serialization.Tests.ReadJson<ArrayList>.DeserializeFromString,1.00,58.56,2.07,
System.Text.Json.Serialization.Tests.ReadJson<ArrayList>.DeserializeFromUtf8Bytes,1.00,55.54,1.82,
System.Text.Json.Serialization.Tests.ReadJson<ArrayList>.DeserializeFromStream,1.00,56.61,1.81,
System.Globalization.Tests.StringSearch.IsPrefix_FirstHalf(Options: (; IgnoreCase; False)),1.00,126.64,13.00,
System.Globalization.Tests.StringSearch.IsPrefix_DifferentFirstChar(Options: (; IgnoreCase; False)),1.00,40.24,3.26,
System.Globalization.Tests.StringSearch.IsSuffix_SecondHalf(Options: (; IgnoreCase; False)),1.00,107.64,11.00,
System.Globalization.Tests.StringSearch.IsSuffix_DifferentLastChar(Options: (; IgnoreCase; False)),1.00,36.08,2.90,
System.Globalization.Tests.StringSearch.IndexOf_Word_NotFound(Options: (; IgnoreCase; False)),1.00,57.03,5.15,
System.Globalization.Tests.StringSearch.LastIndexOf_Word_NotFound(Options: (; IgnoreCase; False)),1.00,54.51,5.20,
System.Globalization.Tests.StringSearch.IsPrefix_FirstHalf(Options: (; IgnoreCase; True)),1.00,1.23,1.03,
System.Globalization.Tests.StringSearch.IsPrefix_DifferentFirstChar(Options: (; IgnoreCase; True)),1.00,1.83,1.19,
System.Globalization.Tests.StringSearch.IsSuffix_SecondHalf(Options: (; IgnoreCase; True)),1.00,1.14,1.05,
System.Globalization.Tests.StringSearch.IsSuffix_DifferentLastChar(Options: (; IgnoreCase; True)),1.00,1.55,1.12,
System.Globalization.Tests.StringSearch.IndexOf_Word_NotFound(Options: (; IgnoreCase; True)),1.00,1.30,1.04,
System.Globalization.Tests.StringSearch.LastIndexOf_Word_NotFound(Options: (; IgnoreCase; True)),1.00,2.60,1.13,
System.Globalization.Tests.StringSearch.IsPrefix_FirstHalf(Options: (; None; False)),1.00,125.75,12.93,
System.Globalization.Tests.StringSearch.IsPrefix_DifferentFirstChar(Options: (; None; False)),1.00,40.39,3.32,
System.Globalization.Tests.StringSearch.IsSuffix_SecondHalf(Options: (; None; False)),1.00,123.84,12.66,
System.Globalization.Tests.StringSearch.IsSuffix_DifferentLastChar(Options: (; None; False)),1.00,35.42,2.97,
