Benchmark,dotnet_core,mono_interpreter,mono_jit
System.Collections.CopyTo<Int32>.ImmutableArray(Size: 2048),1.00,2.21,1.50,
System.IO.Tests.Perf_StreamWriter.WriteFormat,1.00,32.12,2.00,
System.IO.Tests.Perf_StreamWriter.WriteCharArray(writeLength: 2),1.00,59.47,4.73,
System.IO.Tests.Perf_StreamWriter.WritePartialCharArray(writeLength: 2),1.00,86.18,5.97,
System.IO.Tests.Perf_StreamWriter.WriteString(writeLength: 2),1.00,59.45,4.79,
System.IO.Tests.Perf_StreamWriter.WriteCharArray(writeLength: 100),1.00,276.52,23.50,
System.IO.Tests.Perf_StreamWriter.WritePartialCharArray(writeLength: 100),1.00,298.97,24.79,
System.IO.Tests.Perf_StreamWriter.WriteString(writeLength: 100),1.00,301.37,25.70,
BenchmarksGame.FannkuchRedux_5.RunBench(n: 10; expectedSum: 38),1.00,11.51,1.47,
MicroBenchmarks.Serializers.Binary_FromStream<LoginViewModel>.BinaryFormatter_,1.00,23.93,1.53,
MicroBenchmarks.Serializers.Binary_FromStream<LoginViewModel>.ProtoBuffNet,1.00,43.10,2.55,
MicroBenchmarks.Serializers.Binary_FromStream<LoginViewModel>.MessagePack_,1.00,31.91,2.62,
MicroBenchmarks.Serializers.Json_FromStream<MyEventsListerViewModel>.Jil_,1.00,40.07,2.77,
MicroBenchmarks.Serializers.Json_FromStream<MyEventsListerViewModel>.JsonNet_,1.00,43.87,2.04,
MicroBenchmarks.Serializers.Json_FromStream<MyEventsListerViewModel>.Utf8Json_,1.00,32.06,1.84,
MicroBenchmarks.Serializers.Json_FromStream<MyEventsListerViewModel>.DataContractJsonSerializer_,1.00,45.58,1.65,
MicroBenchmarks.Serializers.Binary_FromStream<CollectionsOfPrimitives>.BinaryFormatter_,1.00,39.04,4.59,
MicroBenchmarks.Serializers.Binary_FromStream<CollectionsOfPrimitives>.ProtoBuffNet,1.00,27.90,1.99,
MicroBenchmarks.Serializers.Binary_FromStream<CollectionsOfPrimitives>.MessagePack_,1.00,23.29,2.26,
System.Text.Json.Serialization.Tests.WriteJson<LoginViewModel>.SerializeToString,1.00,90.46,3.83,
System.Text.Json.Serialization.Tests.WriteJson<LoginViewModel>.SerializeToUtf8Bytes,1.00,78.88,3.05,
System.Text.Json.Serialization.Tests.WriteJson<LoginViewModel>.SerializeToStream,1.00,80.96,2.97,
System.Text.Json.Serialization.Tests.WriteJson<LoginViewModel>.SerializeObjectProperty,1.00,80.17,3.28,
MicroBenchmarks.Serializers.Json_FromString<MyEventsListerViewModel>.Jil_,1.00,28.70,2.01,
MicroBenchmarks.Serializers.Json_FromString<MyEventsListerViewModel>.JsonNet_,1.00,37.42,1.48,
MicroBenchmarks.Serializers.Json_FromString<MyEventsListerViewModel>.Utf8Json_,1.00,42.70,2.79,
System.Text.Json.Serialization.Tests.ReadJson<MyEventsListerViewModel>.DeserializeFromString,1.00,80.69,2.90,
System.Text.Json.Serialization.Tests.ReadJson<MyEventsListerViewModel>.DeserializeFromUtf8Bytes,1.00,70.40,2.07,
System.Text.Json.Serialization.Tests.ReadJson<MyEventsListerViewModel>.DeserializeFromStream,1.00,59.12,1.86,
System.Collections.TryAddDefaultSize<Int32>.Dictionary(Count: 512),1.00,19.64,2.26,
System.Collections.TryAddDefaultSize<Int32>.ConcurrentDictionary(Count: 512),1.00,14.51,2.66,
Lowering.InstructionReplacement.TESTtoBT,SMALL,SMALL,SMALL,
System.Collections.CreateAddAndClear<Int32>.Array(Size: 512),1.00,13.58,1.54,
System.Collections.CreateAddAndClear<Int32>.Span(Size: 512),1.00,9.94,1.32,
System.Collections.CreateAddAndClear<Int32>.List(Size: 512),1.00,23.97,2.34,
System.Collections.CreateAddAndClear<Int32>.ICollection(Size: 512),1.00,17.51,1.91,
System.Collections.CreateAddAndClear<Int32>.LinkedList(Size: 512),1.00,11.60,1.22,
System.Collections.CreateAddAndClear<Int32>.HashSet(Size: 512),1.00,16.96,2.56,
System.Collections.CreateAddAndClear<Int32>.Dictionary(Size: 512),1.00,19.65,2.27,
System.Collections.CreateAddAndClear<Int32>.IDictionary(Size: 512),1.00,20.29,2.37,
System.Collections.CreateAddAndClear<Int32>.SortedList(Size: 512),1.00,18.45,1.96,
System.Collections.CreateAddAndClear<Int32>.SortedSet(Size: 512),1.00,20.77,1.52,
System.Collections.CreateAddAndClear<Int32>.SortedDictionary(Size: 512),1.00,16.19,1.30,
System.Collections.CreateAddAndClear<Int32>.ConcurrentDictionary(Size: 512),1.00,15.60,2.68,
System.Collections.CreateAddAndClear<Int32>.Stack(Size: 512),1.00,20.44,2.28,
System.Collections.CreateAddAndClear<Int32>.ConcurrentStack(Size: 512),1.00,10.88,1.08,
System.Collections.CreateAddAndClear<Int32>.Queue(Size: 512),1.00,21.18,2.12,
System.Collections.CreateAddAndClear<Int32>.ConcurrentQueue(Size: 512),1.00,11.22,1.25,
System.Collections.CreateAddAndClear<Int32>.ConcurrentBag(Size: 512),1.00,15.42,1.33,
System.Collections.Tests.Perf_Dictionary.ContainsValue(Items: 3000),1.00,131.01,3.02,
System.Linq.Tests.Perf_Enumerable.Range,1.00,35.42,1.97,
System.Linq.Tests.Perf_Enumerable.Repeat,1.00,33.27,1.85,
System.Linq.Tests.Perf_Enumerable.EmptyTakeSelectToArray,1.00,7.16,0.76,
System.Linq.Tests.Perf_Enumerable.Select(input: Array),1.00,33.80,1.49,
System.Linq.Tests.Perf_Enumerable.Where(input: Array),1.00,33.27,1.68,
System.Linq.Tests.Perf_Enumerable.WhereSelect(input: Array),1.00,40.14,1.66,
System.Linq.Tests.Perf_Enumerable.WhereFirst_LastElementMatches(input: Array),1.00,29.46,1.41,
System.Linq.Tests.Perf_Enumerable.WhereLast_LastElementMatches(input: Array),1.00,33.75,1.55,
System.Linq.Tests.Perf_Enumerable.FirstWithPredicate_LastElementMatches(input: Array),1.00,22.05,1.31,
System.Linq.Tests.Perf_Enumerable.WhereAny_LastElementMatches(input: Array),1.00,32.58,1.53,
System.Linq.Tests.Perf_Enumerable.AnyWithPredicate_LastElementMatches(input: Array),1.00,24.04,1.39,
System.Linq.Tests.Perf_Enumerable.WhereSingle_LastElementMatches(input: Array),1.00,32.94,1.51,
System.Linq.Tests.Perf_Enumerable.WhereSingleOrDefault_LastElementMatches(input: Array),1.00,32.18,1.67,
System.Linq.Tests.Perf_Enumerable.SingleWithPredicate_LastElementMatches(input: Array),1.00,21.68,1.38,
System.Linq.Tests.Perf_Enumerable.SingleWithPredicate_FirstElementMatches(input: Array),1.00,22.50,1.28,
System.Linq.Tests.Perf_Enumerable.SelectToArray(input: Array),1.00,30.39,1.27,
System.Linq.Tests.Perf_Enumerable.SelectToList(input: Array),1.00,32.63,1.27,
System.Linq.Tests.Perf_Enumerable.ToDictionary(input: Array),1.00,37.44,1.68,
System.Linq.Tests.Perf_Enumerable.ToArray(input: ICollection),1.00,8.78,1.95,
System.Linq.Tests.Perf_Enumerable.ToList(input: ICollection),1.00,9.86,2.15,
System.Linq.Tests.Perf_Enumerable.Contains_ElementNotFound(input: ICollection),1.00,388.83,3.18,
System.Linq.Tests.Perf_Enumerable.Count(input: ICollection),SMALL,SMALL,SMALL,
System.Linq.Tests.Perf_Enumerable.Select(input: IEnumerable),1.00,27.16,1.41,
System.Linq.Tests.Perf_Enumerable.Where(input: IEnumerable),1.00,25.97,1.46,
System.Linq.Tests.Perf_Enumerable.WhereSelect(input: IEnumerable),1.00,27.64,1.35,
System.Linq.Tests.Perf_Enumerable.WhereFirst_LastElementMatches(input: IEnumerable),1.00,19.27,1.16,
System.Linq.Tests.Perf_Enumerable.WhereLast_LastElementMatches(input: IEnumerable),1.00,19.47,1.10,
System.Linq.Tests.Perf_Enumerable.FirstWithPredicate_LastElementMatches(input: IEnumerable),1.00,22.73,1.24,
System.Linq.Tests.Perf_Enumerable.LastWithPredicate_FirstElementMatches(input: IEnumerable),1.00,24.58,1.29,
System.Linq.Tests.Perf_Enumerable.WhereAny_LastElementMatches(input: IEnumerable),1.00,20.11,1.30,
System.Linq.Tests.Perf_Enumerable.AnyWithPredicate_LastElementMatches(input: IEnumerable),1.00,23.87,1.38,
System.Linq.Tests.Perf_Enumerable.All_AllElementsMatch(input: IEnumerable),1.00,25.69,1.47,
System.Linq.Tests.Perf_Enumerable.WhereSingle_LastElementMatches(input: IEnumerable),1.00,21.10,1.29,
System.Linq.Tests.Perf_Enumerable.WhereSingleOrDefault_LastElementMatches(input: IEnumerable),1.00,20.39,1.27,
System.Linq.Tests.Perf_Enumerable.SingleWithPredicate_LastElementMatches(input: IEnumerable),1.00,23.58,1.41,
System.Linq.Tests.Perf_Enumerable.SingleWithPredicate_FirstElementMatches(input: IEnumerable),1.00,22.68,1.34,
System.Linq.Tests.Perf_Enumerable.CastToBaseClass(input: IEnumerable),1.00,15.30,1.95,
System.Linq.Tests.Perf_Enumerable.CastToSameType(input: IEnumerable),1.00,32.82,1.46,
System.Linq.Tests.Perf_Enumerable.OrderBy(input: IEnumerable),1.00,38.76,1.76,
System.Linq.Tests.Perf_Enumerable.OrderByDescending(input: IEnumerable),1.00,41.24,1.74,
System.Linq.Tests.Perf_Enumerable.OrderByThenBy(input: IEnumerable),1.00,38.04,1.77,
System.Linq.Tests.Perf_Enumerable.Reverse(input: IEnumerable),1.00,20.30,1.59,
System.Linq.Tests.Perf_Enumerable.Skip_One(input: IEnumerable),1.00,25.86,1.55,
System.Linq.Tests.Perf_Enumerable.Take_All(input: IEnumerable),1.00,23.86,1.40,
System.Linq.Tests.Perf_Enumerable.TakeLastHalf(input: IEnumerable),1.00,22.29,1.82,
System.Linq.Tests.Perf_Enumerable.SkipHalfTakeHalf(input: IEnumerable),1.00,22.90,1.50,
System.Linq.Tests.Perf_Enumerable.ToArray(input: IEnumerable),1.00,15.19,1.65,
System.Linq.Tests.Perf_Enumerable.SelectToArray(input: IEnumerable),1.00,22.99,1.73,
System.Linq.Tests.Perf_Enumerable.ToList(input: IEnumerable),1.00,20.02,1.79,
System.Linq.Tests.Perf_Enumerable.SelectToList(input: IEnumerable),1.00,22.52,1.64,
System.Linq.Tests.Perf_Enumerable.ToDictionary(input: IEnumerable),1.00,24.47,1.72,
System.Linq.Tests.Perf_Enumerable.Contains_ElementNotFound(input: IEnumerable),1.00,49.47,1.74,
System.Linq.Tests.Perf_Enumerable.Concat_Once(input: IEnumerable),1.00,25.62,1.53,
System.Linq.Tests.Perf_Enumerable.Concat_TenTimes(input: IEnumerable),1.00,24.40,1.43,
System.Linq.Tests.Perf_Enumerable.Sum(input: IEnumerable),1.00,17.64,1.48,
System.Linq.Tests.Perf_Enumerable.Min(input: IEnumerable),1.00,15.78,1.40,
System.Linq.Tests.Perf_Enumerable.Max(input: IEnumerable),1.00,16.25,1.35,
System.Linq.Tests.Perf_Enumerable.Average(input: IEnumerable),1.00,16.36,1.19,
System.Linq.Tests.Perf_Enumerable.Count(input: IEnumerable),1.00,14.73,1.33,
System.Linq.Tests.Perf_Enumerable.Aggregate(input: IEnumerable),1.00,24.93,1.30,
System.Linq.Tests.Perf_Enumerable.Aggregate_Seed(input: IEnumerable),1.00,21.76,1.33,
System.Linq.Tests.Perf_Enumerable.Distinct(input: IEnumerable),1.00,20.21,1.59,
System.Linq.Tests.Perf_Enumerable.ElementAt(input: IEnumerable),1.00,15.92,1.49,
System.Linq.Tests.Perf_Enumerable.GroupBy(input: IEnumerable),1.00,20.79,2.00,
System.Linq.Tests.Perf_Enumerable.Zip(input: IEnumerable),1.00,31.17,1.38,
System.Linq.Tests.Perf_Enumerable.Intersect(input: IEnumerable),1.00,24.21,1.64,
System.Linq.Tests.Perf_Enumerable.Except(input: IEnumerable),1.00,21.37,1.51,
System.Linq.Tests.Perf_Enumerable.Append(input: IEnumerable),1.00,14.16,1.37,
System.Linq.Tests.Perf_Enumerable.Prepend(input: IEnumerable),1.00,14.21,1.38,
System.Linq.Tests.Perf_Enumerable.AppendPrepend(input: IEnumerable),1.00,14.68,1.42,
System.Linq.Tests.Perf_Enumerable.Select(input: IList),1.00,26.89,1.44,
System.Linq.Tests.Perf_Enumerable.LastWithPredicate_FirstElementMatches(input: IList),1.00,13.57,0.99,
System.Linq.Tests.Perf_Enumerable.SelectToArray(input: IList),1.00,20.55,1.17,
System.Linq.Tests.Perf_Enumerable.SelectToList(input: IList),1.00,24.64,1.21,
System.Linq.Tests.Perf_Enumerable.ElementAt(input: IList),1.00,9.65,0.83,
System.Linq.Tests.Perf_Enumerable.FirstWithPredicate_LastElementMatches(input: IOrderedEnumerable),1.00,21.19,1.27,
System.Linq.Tests.Perf_Enumerable.LastWithPredicate_FirstElementMatches(input: IOrderedEnumerable),1.00,33.21,1.42,
System.Linq.Tests.Perf_Enumerable.AnyWithPredicate_LastElementMatches(input: IOrderedEnumerable),1.00,40.03,1.79,
System.Linq.Tests.Perf_Enumerable.Select(input: List),1.00,34.10,1.70,
System.Linq.Tests.Perf_Enumerable.Where(input: List),1.00,31.16,1.66,
System.Linq.Tests.Perf_Enumerable.WhereSelect(input: List),1.00,30.62,1.43,
System.Linq.Tests.Perf_Enumerable.WhereFirst_LastElementMatches(input: List),1.00,24.38,1.44,
System.Linq.Tests.Perf_Enumerable.WhereLast_LastElementMatches(input: List),1.00,24.45,1.28,
System.Linq.Tests.Perf_Enumerable.FirstWithPredicate_LastElementMatches(input: List),1.00,16.84,1.08,
System.Linq.Tests.Perf_Enumerable.WhereAny_LastElementMatches(input: List),1.00,25.83,1.52,
System.Linq.Tests.Perf_Enumerable.AnyWithPredicate_LastElementMatches(input: List),1.00,19.18,1.18,
System.Linq.Tests.Perf_Enumerable.WhereSingle_LastElementMatches(input: List),1.00,26.99,1.42,
System.Linq.Tests.Perf_Enumerable.WhereSingleOrDefault_LastElementMatches(input: List),1.00,28.35,1.67,
System.Linq.Tests.Perf_Enumerable.SingleWithPredicate_LastElementMatches(input: List),1.00,16.21,1.13,
System.Linq.Tests.Perf_Enumerable.SingleWithPredicate_FirstElementMatches(input: List),1.00,17.10,1.15,
System.Linq.Tests.Perf_Enumerable.TakeLastHalf(input: List),1.00,23.51,1.32,
System.Linq.Tests.Perf_Enumerable.SelectToArray(input: List),1.00,37.81,2.03,
System.Linq.Tests.Perf_Enumerable.SelectToList(input: List),1.00,34.66,2.00,
System.Linq.Tests.Perf_Enumerable.ToDictionary(input: List),1.00,35.11,1.69,
System.Linq.Tests.Perf_Enumerable.SelectToArray(input: Range),1.00,29.45,1.42,
System.Linq.Tests.Perf_Enumerable.SelectToList(input: Range),1.00,34.40,1.56,
System.Security.Cryptography.X509Certificates.Tests.X509Certificate2Tests.CertProp,1.00,29.48,2.06,
MicroBenchmarks.Serializers.Json_ToStream<MyEventsListerViewModel>.Jil_,1.00,55.58,3.09,
MicroBenchmarks.Serializers.Json_ToStream<MyEventsListerViewModel>.JsonNet_,1.00,47.23,2.20,
MicroBenchmarks.Serializers.Json_ToStream<MyEventsListerViewModel>.Utf8Json_,1.00,36.75,1.77,
MicroBenchmarks.Serializers.Json_ToStream<MyEventsListerViewModel>.DataContractJsonSerializer_,1.00,44.45,2.03,
MicroBenchmarks.Serializers.Json_FromStream<Location>.Jil_,1.00,40.00,2.80,
MicroBenchmarks.Serializers.Json_FromStream<Location>.JsonNet_,1.00,42.38,1.96,
MicroBenchmarks.Serializers.Json_FromStream<Location>.Utf8Json_,1.00,31.46,1.87,
MicroBenchmarks.Serializers.Json_FromStream<Location>.DataContractJsonSerializer_,1.00,40.25,1.62,
System.IO.Compression.Gzip.Compress(level: Optimal; file: "TestDocument.pdf"),1.00,1.02,1.00,
System.IO.Compression.Gzip.Decompress(level: Optimal; file: "TestDocument.pdf"),1.00,1.32,1.05,
System.IO.Compression.Gzip.Compress(level: Optimal; file: "alice29.txt"),1.00,1.00,1.00,
System.IO.Compression.Gzip.Decompress(level: Optimal; file: "alice29.txt"),1.00,1.12,1.02,
System.IO.Compression.Gzip.Compress(level: Optimal; file: "sum"),1.00,1.01,1.01,
System.IO.Compression.Gzip.Decompress(level: Optimal; file: "sum"),1.00,1.24,1.09,
System.IO.Compression.Gzip.Compress(level: Fastest; file: "TestDocument.pdf"),1.00,1.02,1.00,
System.IO.Compression.Gzip.Decompress(level: Fastest; file: "TestDocument.pdf"),1.00,1.30,1.04,
System.IO.Compression.Gzip.Compress(level: Fastest; file: "alice29.txt"),1.00,1.01,1.00,
System.IO.Compression.Gzip.Decompress(level: Fastest; file: "alice29.txt"),1.00,1.12,1.02,
System.IO.Compression.Gzip.Compress(level: Fastest; file: "sum"),1.00,1.05,1.02,
System.IO.Compression.Gzip.Decompress(level: Fastest; file: "sum"),1.00,1.22,1.09,
MicroBenchmarks.Serializers.Binary_FromStream<IndexViewModel>.BinaryFormatter_,1.00,31.72,2.94,
MicroBenchmarks.Serializers.Binary_FromStream<IndexViewModel>.ProtoBuffNet,1.00,62.60,2.82,
MicroBenchmarks.Serializers.Binary_FromStream<IndexViewModel>.MessagePack_,1.00,70.17,5.69,
System.Text.Json.Serialization.Tests.WriteJson<IndexViewModel>.SerializeToString,1.00,134.53,9.36,
System.Text.Json.Serialization.Tests.WriteJson<IndexViewModel>.SerializeToUtf8Bytes,1.00,105.97,6.60,
System.Text.Json.Serialization.Tests.WriteJson<IndexViewModel>.SerializeToStream,1.00,108.62,6.39,
System.Text.Json.Serialization.Tests.WriteJson<IndexViewModel>.SerializeObjectProperty,1.00,131.75,9.18,
MicroBenchmarks.Serializers.Json_ToString<MyEventsListerViewModel>.Jil_,1.00,36.26,2.38,
MicroBenchmarks.Serializers.Json_ToString<MyEventsListerViewModel>.JsonNet_,1.00,34.81,1.74,
MicroBenchmarks.Serializers.Json_ToString<MyEventsListerViewModel>.Utf8Json_,1.00,45.23,2.56,
Benchstone.BenchI.XposMatrix.Test,1.00,19.31,2.41,
System.Memory.Constructors<String>.SpanFromArray,1.00,9.86,1.55,
System.Memory.Constructors<String>.ReadOnlySpanFromArray,1.00,10.12,2.28,
System.Memory.Constructors<String>.SpanFromArrayStartLength,1.00,13.47,1.48,
System.Memory.Constructors<String>.ReadOnlySpanFromArrayStartLength,1.00,19.08,2.12,
System.Memory.Constructors<String>.SpanFromMemory,1.00,31.37,2.60,
System.Memory.Constructors<String>.ReadOnlySpanFromMemory,1.00,28.10,2.58,
System.Memory.Constructors<String>.SpanImplicitCastFromArray,1.00,10.95,1.72,
System.Memory.Constructors<String>.ReadOnlySpanImplicitCastFromArray,1.00,13.89,2.40,
System.Memory.Constructors<String>.SpanImplicitCastFromArraySegment,1.00,10.56,2.16,
System.Memory.Constructors<String>.ReadOnlySpanImplicitCastFromArraySegment,1.00,13.19,2.60,
System.Memory.Constructors<String>.ReadOnlySpanImplicitCastFromSpan,1.00,3.80,0.77,
System.Memory.Constructors<String>.MemoryFromArray,1.00,5.60,1.37,
System.Memory.Constructors<String>.ReadOnlyMemoryFromArray,SMALL,SMALL,SMALL,
System.Memory.Constructors<String>.MemoryFromArrayStartLength,1.00,6.09,1.31,
System.Memory.Constructors<String>.ReadOnlyMemoryFromArrayStartLength,SMALL,SMALL,SMALL,
System.Memory.Constructors<String>.ArrayAsSpan,1.00,10.78,1.63,
System.Memory.Constructors<String>.ArrayAsSpanStartLength,1.00,14.72,1.50,
System.Memory.Constructors<String>.ArrayAsMemory,1.00,8.30,1.46,
System.Memory.Constructors<String>.ArrayAsMemoryStartLength,1.00,8.00,1.39,
System.Memory.Constructors<String>.MemoryMarshalCreateSpan,1.00,15.65,2.56,
System.Memory.Constructors<String>.MemoryMarshalCreateReadOnlySpan,1.00,15.33,2.68,
System.Memory.Constructors_ValueTypesOnly<Int32>.SpanFromPointerLength,SMALL,SMALL,SMALL,
System.Memory.Constructors_ValueTypesOnly<Int32>.ReadOnlyFromPointerLength,SMALL,SMALL,SMALL,
Benchstone.BenchI.MulMatrix.Test,1.00,14.13,1.59,
Benchstone.BenchF.Romber.Test,1.00,31.25,1.88,
System.Drawing.Tests.Perf_Color.FromArgb_Channels,SMALL,SMALL,SMALL,
System.Drawing.Tests.Perf_Color.FromArgb_AlphaColor,1.00,29.38,3.71,
System.Drawing.Tests.Perf_Color.GetBrightness,1.00,21.94,0.87,
System.Drawing.Tests.Perf_Color.GetHue,1.00,26.76,1.38,
System.Drawing.Tests.Perf_Color.GetSaturation,1.00,30.71,1.67,
System.Tests.Perf_Decimal.Add,1.00,11.13,2.61,
System.Tests.Perf_Decimal.Subtract,1.00,12.03,2.45,
System.Tests.Perf_Decimal.Multiply,1.00,11.06,3.29,
System.Tests.Perf_Decimal.Divide,1.00,12.91,1.78,
System.Tests.Perf_Decimal.Mod,1.00,10.64,2.04,
System.Tests.Perf_Decimal.Floor,1.00,10.84,2.71,
System.Tests.Perf_Decimal.Round,1.00,8.27,1.80,
System.Tests.Perf_Decimal.ToString(value: 123456.789),1.00,29.84,2.11,
System.Tests.Perf_Decimal.Parse(value: "123456.789"),1.00,21.17,2.03,
System.Tests.Perf_Decimal.TryParse(value: "123456.789"),1.00,20.64,1.91,
System.Text.Json.Tests.Perf_Doubles.WriteDoubles(Formatted: False; SkipValidation: False),1.00,67.53,2.09,
System.Text.Json.Tests.Perf_Doubles.WriteDoubles(Formatted: False; SkipValidation: True),1.00,66.97,2.10,
System.Text.Json.Tests.Perf_Doubles.WriteDoubles(Formatted: True; SkipValidation: False),1.00,67.89,2.07,
System.Text.Json.Tests.Perf_Doubles.WriteDoubles(Formatted: True; SkipValidation: True),1.00,66.57,2.05,
System.Text.Json.Tests.Perf_DateTimes.WriteDateTimes(Formatted: False; SkipValidation: False),1.00,46.47,3.56,
System.Text.Json.Tests.Perf_DateTimes.WriteDateTimes(Formatted: False; SkipValidation: True),1.00,47.49,3.58,
System.Text.Json.Tests.Perf_DateTimes.WriteDateTimes(Formatted: True; SkipValidation: False),1.00,51.90,3.43,
System.Text.Json.Tests.Perf_DateTimes.WriteDateTimes(Formatted: True; SkipValidation: True),1.00,50.32,3.45,
Benchstone.BenchI.EightQueens.Test,1.00,16.96,1.31,
MicroBenchmarks.Serializers.Binary_ToStream<IndexViewModel>.BinaryFormatter_,1.00,44.66,3.66,
MicroBenchmarks.Serializers.Binary_ToStream<IndexViewModel>.ProtoBuffNet,1.00,73.31,3.66,
MicroBenchmarks.Serializers.Binary_ToStream<IndexViewModel>.MessagePack_,1.00,100.30,6.35,
System.Collections.CtorDefaultSize<Int32>.List,1.00,10.29,1.37,
System.Collections.CtorDefaultSize<Int32>.LinkedList,SMALL,SMALL,SMALL,
System.Collections.CtorDefaultSize<Int32>.HashSet,1.00,17.46,2.01,
System.Collections.CtorDefaultSize<Int32>.Dictionary,1.00,13.06,1.68,
System.Collections.CtorDefaultSize<Int32>.Queue,1.00,5.92,1.12,
System.Collections.CtorDefaultSize<Int32>.Stack,1.00,6.94,1.18,
System.Collections.CtorDefaultSize<Int32>.SortedList,1.00,7.84,1.12,
System.Collections.CtorDefaultSize<Int32>.SortedSet,1.00,11.79,1.49,
System.Collections.CtorDefaultSize<Int32>.SortedDictionary,1.00,12.37,1.49,
System.Collections.CtorDefaultSize<Int32>.ConcurrentDictionary,1.00,7.56,1.44,
System.Collections.CtorDefaultSize<Int32>.ConcurrentQueue,1.00,12.17,1.40,
System.Collections.CtorDefaultSize<Int32>.ConcurrentStack,SMALL,SMALL,SMALL,
System.Collections.CtorDefaultSize<Int32>.ConcurrentBag,1.00,28.90,2.96,
System.Collections.CtorDefaultSize<Int32>.ImmutableArray,SMALL,SMALL,SMALL,
System.Collections.CtorDefaultSize<Int32>.ImmutableDictionary,SMALL,SMALL,SMALL,
System.Collections.CtorDefaultSize<Int32>.ImmutableHashSet,SMALL,SMALL,SMALL,
System.Collections.CtorDefaultSize<Int32>.ImmutableList,SMALL,SMALL,SMALL,
System.Collections.CtorDefaultSize<Int32>.ImmutableQueue,SMALL,SMALL,SMALL,
System.Collections.CtorDefaultSize<Int32>.ImmutableStack,SMALL,SMALL,SMALL,
System.Collections.CtorDefaultSize<Int32>.ImmutableSortedDictionary,SMALL,SMALL,SMALL,
System.Collections.CtorDefaultSize<Int32>.ImmutableSortedSet,SMALL,SMALL,SMALL,
System.Collections.CtorGivenSize<Int32>.Array(Size: 512),1.00,1.73,1.84,
System.Collections.CtorGivenSize<Int32>.List(Size: 512),1.00,2.22,1.79,
System.Collections.CtorGivenSize<Int32>.HashSet(Size: 512),1.00,2.45,1.77,
System.Collections.CtorGivenSize<Int32>.Dictionary(Size: 512),1.00,13.75,12.37,
System.Collections.CtorGivenSize<Int32>.Queue(Size: 512),1.00,2.14,1.74,
System.Collections.CtorGivenSize<Int32>.Stack(Size: 512),1.00,2.26,1.83,
System.Collections.CtorGivenSize<Int32>.SortedList(Size: 512),1.00,2.10,1.89,
System.Collections.CtorGivenSize<Int32>.ConcurrentDictionary(Size: 512),1.00,3.23,1.65,
Benchstone.BenchF.Whetsto.Test,1.00,14.84,1.40,
System.Text.Json.Tests.Perf_Deep.WriteDeepUtf8(Formatted: False; SkipValidation: False),1.00,45.64,3.78,
System.Text.Json.Tests.Perf_Deep.WriteDeepUtf16(Formatted: False; SkipValidation: False),1.00,46.95,3.78,
System.Text.Json.Tests.Perf_Deep.WriteDeepUtf8(Formatted: False; SkipValidation: True),1.00,46.67,3.84,
System.Text.Json.Tests.Perf_Deep.WriteDeepUtf16(Formatted: False; SkipValidation: True),1.00,46.33,3.90,
System.Text.Json.Tests.Perf_Deep.WriteDeepUtf8(Formatted: True; SkipValidation: False),1.00,84.09,2.04,
System.Text.Json.Tests.Perf_Deep.WriteDeepUtf16(Formatted: True; SkipValidation: False),1.00,83.47,2.03,
System.Text.Json.Tests.Perf_Deep.WriteDeepUtf8(Formatted: True; SkipValidation: True),1.00,84.57,2.06,
System.Text.Json.Tests.Perf_Deep.WriteDeepUtf16(Formatted: True; SkipValidation: True),1.00,84.19,2.05,
System.Numerics.Tests.Perf_Vector3.AddOperatorBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector3.AddFunctionBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector3.MultiplyOperatorBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector3.MultiplyFunctionBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector3.SubtractOperatorBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector3.SubtractFunctionBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector3.DistanceSquaredBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector3.LengthSquaredBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector3.GetHashCodeBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector3.SquareRootBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector3.NormalizeBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector3.DotBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector3.DistanceBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector3.LengthBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector3.CrossBenchmark,SMALL,SMALL,SMALL,
System.Collections.Concurrent.AddRemoveFromDifferentThreads<String>.ConcurrentBag(Size: 2000000),1.00,7.48,1.18,
System.Collections.Concurrent.AddRemoveFromDifferentThreads<String>.ConcurrentStack(Size: 2000000),1.00,5.61,0.85,
System.Collections.Concurrent.AddRemoveFromDifferentThreads<String>.ConcurrentQueue(Size: 2000000),1.00,9.79,1.03,
System.Tests.Perf_Uri.ParseAbsoluteUri,1.00,62.98,1.94,
