Benchmark,dotnetcore_nollvm,mono_aa87d3db6d981426ecca6e2637238c8a211689a8_nollvm
MicroBenchmarks.Serializers.Json_FromStream<Location>.Jil_,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromStream<Location>.JsonNet_,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromStream<Location>.Utf8Json_,1.00,1.00,
MicroBenchmarks.Serializers.Json_FromStream<Location>.DataContractJsonSerializer_,1.00,1.00,
MicroBenchmarks.Serializers.Binary_FromStream<IndexViewModel>.BinaryFormatter_,1.00,1.00,
MicroBenchmarks.Serializers.Binary_FromStream<IndexViewModel>.ProtoBuffNet,1.00,1.00,
MicroBenchmarks.Serializers.Binary_FromStream<IndexViewModel>.MessagePack_,1.00,1.00,
MicroBenchmarks.Serializers.Json_ToString<MyEventsListerViewModel>.Jil_,1.00,1.00,
MicroBenchmarks.Serializers.Json_ToString<MyEventsListerViewModel>.JsonNet_,1.00,1.00,
MicroBenchmarks.Serializers.Json_ToString<MyEventsListerViewModel>.Utf8Json_,1.00,1.00,
Benchstone.BenchI.XposMatrix.Test,1.00,1.00,
Benchstone.BenchI.MulMatrix.Test,1.00,1.00,
Benchstone.BenchF.Romber.Test,1.00,1.00,
Benchstone.BenchI.EightQueens.Test,1.00,1.00,
MicroBenchmarks.Serializers.Binary_ToStream<IndexViewModel>.BinaryFormatter_,1.00,1.00,
MicroBenchmarks.Serializers.Binary_ToStream<IndexViewModel>.ProtoBuffNet,1.00,1.00,
MicroBenchmarks.Serializers.Binary_ToStream<IndexViewModel>.MessagePack_,1.00,1.00,
Benchstone.BenchF.Whetsto.Test,1.00,1.00,
MicroBenchmarks.Serializers.Binary_ToStream<LoginViewModel>.BinaryFormatter_,1.00,1.00,
MicroBenchmarks.Serializers.Binary_ToStream<LoginViewModel>.ProtoBuffNet,1.00,1.00,
MicroBenchmarks.Serializers.Binary_ToStream<LoginViewModel>.MessagePack_,1.00,1.00,
MicroBenchmarks.Serializers.Xml_ToStream<ClassImplementingIXmlSerialiable>.XmlSerializer_,1.00,1.00,
MicroBenchmarks.Serializers.Xml_ToStream<ClassImplementingIXmlSerialiable>.DataContractSerializer_,1.00,1.00,
Benchstone.BenchF.Simpsn.Test,1.00,1.00,
Devirtualization.Boxing.InterfaceTypeCheckAndCall,1.00,1.00,
MicroBenchmarks.Serializers.Xml_ToStream<SimpleStructWithProperties>.XmlSerializer_,1.00,1.00,
